Eval-AverageReturn,Pre-Loss,AverageDiscountedReturn,Itr,NumTrajs,Epochs,PolicyExecTime,Time-EnvSampleProc,Time-AgentEval,Time-EnvSampling,EnvExecTime,n_timesteps,AverageReturn,MinReturn,StdReturn,Time-ModelFit,Post-Loss,MaxReturn,ItrTime,Time,AvgModelEpochTime
92.27,0.01322156,18.486806079557052,0,48,99,0.028692960739135742,0.00761723518371582,215.618736743927,0.7085926532745361,0.6294999122619629,1000,20.854166666666668,10.0,10.380248839609878,52.72345018386841,0.0004831845,48.0,269.061500787735,269.0615029335022,0.5257981967926025
200.0,0.0010877807,65.63643063790781,1,9,99,30.14011526107788,0.0014982223510742188,460.1859543323517,30.921278953552246,0.7315387725830078,2000,114.0,66.0,41.036569057366385,44.35567235946655,0.00024194608,200.0,535.4697675704956,804.6752400398254,0.4420569849014282
200.0,0.00022228544,86.60203251420373,2,5,99,28.52343440055847,0.0006802082061767578,362.0245051383972,29.232322931289673,0.6609959602355957,3000,200.0,200.0,0.0,77.119961977005,0.0001535855,200.0,468.37929368019104,1273.215441942215,0.7694025945663452
200.0,0.0002852868,86.60203251420373,3,5,99,15.40412187576294,0.0003936290740966797,300.21603441238403,15.809683084487915,0.37900876998901367,4000,200.0,200.0,0.0,87.64613246917725,0.00012361965,200.0,403.6731975078583,1677.029513835907,0.8751634407043457
200.0,0.00018156464,86.60203251420373,4,5,99,14.988267421722412,0.0003917217254638672,299.2197368144989,15.379115104675293,0.36797380447387695,5000,200.0,200.0,0.0,106.7352774143219,0.00013145206,200.0,421.33608078956604,2098.4594461917877,1.066207172870636
200.0,0.0004290402,86.60203251420373,5,5,99,15.04263710975647,0.0004057884216308594,301.41458439826965,15.436490774154663,0.3670206069946289,6000,200.0,200.0,0.0,131.71135354042053,0.00040879459,200.0,448.56407713890076,2547.20184469223,1.3158406472206117
200.0,0.00032105483,86.60203251420373,6,5,99,15.358737468719482,0.000392913818359375,296.67567348480225,15.761878967285156,0.37622499465942383,7000,200.0,200.0,0.0,162.40226364135742,0.0001782776,200.0,474.8408896923065,3022.14026594162,1.6230614805221557
200.0,0.0002743426,86.60203251420373,7,5,99,15.02131986618042,0.0003764629364013672,296.20513463020325,15.428155422210693,0.37795400619506836,8000,200.0,200.0,0.0,182.90270328521729,0.00029540053,200.0,494.53784799575806,3516.8656301498413,1.8279158997535705
200.0,0.00028637933,86.60203251420373,8,5,99,14.804357767105103,0.0004119873046875,296.56967425346375,15.20479416847229,0.37492823600769043,9000,200.0,200.0,0.0,178.83277225494385,0.00028887772,200.0,490.6086564064026,4007.5669033527374,1.787234480381012
195.53,0.00023218383,86.60203251420373,9,5,99,15.07485318183899,0.0003879070281982422,283.4877679347992,15.468192100524902,0.3691368103027344,10000,200.0,200.0,0.0,196.75125122070312,0.0002027881,200.0,495.70931005477905,4503.470715999603,1.9665391182899474
200.0,0.00019175788,85.47054318127512,10,6,99,27.527660131454468,0.0005676746368408203,296.5000727176666,28.26039409637451,0.6843442916870117,11000,192.33333333333334,179.0,8.844332774281067,217.35809326171875,0.00020426822,200.0,542.1198086738586,5045.695936918259,2.172553017139435
47.93069306930693,0.00024751498,86.60203251420373,11,5,99,15.073008060455322,0.0003936290740966797,64.68181657791138,15.468204498291016,0.36572980880737305,12000,200.0,200.0,0.0,250.40940761566162,0.000282259,200.0,330.5608637332916,5376.3745193481445,2.503001892566681
43.61,0.001176135,21.393994440476657,12,30,99,13.232118368148804,0.0007979869842529297,54.30451059341431,13.684757471084595,0.42226576805114746,13000,34.8,8.0,57.32678257149968,267.740571975708,0.0009012341,200.0,335.73141741752625,5712.2173109054565,2.676427974700928
200.0,0.0018599309,25.26744115300938,13,27,23,14.63028359413147,0.0009496212005615234,298.90858578681946,15.135288953781128,0.46970534324645996,14000,40.44444444444444,10.0,55.44054762525036,68.18038415908813,0.0017374653,200.0,382.22645115852356,6094.562255382538,2.839745412270228
200.0,0.0014784498,86.60203251420373,14,5,99,14.884498834609985,0.00045037269592285156,297.77034306526184,15.27157711982727,0.3579061031341553,15000,200.0,200.0,0.0,302.6257336139679,0.0011751864,200.0,615.6697654724121,6710.3370571136475,3.025232820510864
